feature,coefficient,fold_id,event_type,horizon,model_name,target
num__fx_pct_30d_lag60d,0.2189712897854427,2,strike,7,model2_full,strike_7d
num__gdp_growth,0.0139127826193914,2,strike,7,model2_full,strike_7d
num__inflation_cpi_yoy,-0.1417564484865245,2,strike,7,model2_full,strike_7d
num__inflation_cpi_yoy_z,-0.0788783677075492,2,strike,7,model2_full,strike_7d
num__unemployment_youth,0.2374353298833401,2,strike,7,model2_full,strike_7d
num__unemployment_rate,0.0956933794792448,2,strike,7,model2_full,strike_7d
num__unemployment_rate_z,0.0915716176553228,2,strike,7,model2_full,strike_7d
num__political_stability_est,0.0798864389514855,2,strike,7,model2_full,strike_7d
num__voice_accountability_est,0.1024675809600465,2,strike,7,model2_full,strike_7d
num__government_effectiveness_est,0.5250100073391712,2,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_x_inflation,-0.0205584540341492,2,strike,7,model2_full,strike_7d
num__food_cpi_inflation,-0.0707667567186283,2,strike,7,model2_full,strike_7d
num__food_cpi_inflation_z,-0.0278792433735752,2,strike,7,model2_full,strike_7d
num__energy_cpi_inflation,0.1444269367824865,2,strike,7,model2_full,strike_7d
num__energy_cpi_inflation_z,0.0107273662500198,2,strike,7,model2_full,strike_7d
fe__country_iso3_AUS,1.885903812133964,2,strike,7,model2_full,strike_7d
fe__country_iso3_BOL,-1.4324723167081397,2,strike,7,model2_full,strike_7d
fe__country_iso3_BRA,-0.0019443176404091,2,strike,7,model2_full,strike_7d
fe__country_iso3_CAN,2.306989380979334,2,strike,7,model2_full,strike_7d
fe__country_iso3_CHL,0.1170074434025109,2,strike,7,model2_full,strike_7d
fe__country_iso3_CHN,0.7892225757173212,2,strike,7,model2_full,strike_7d
fe__country_iso3_DEU,0.6653875868745113,2,strike,7,model2_full,strike_7d
fe__country_iso3_ESP,-0.6313599534127482,2,strike,7,model2_full,strike_7d
fe__country_iso3_FRA,0.5489050114149165,2,strike,7,model2_full,strike_7d
fe__country_iso3_GBR,3.532576610159789,2,strike,7,model2_full,strike_7d
fe__country_iso3_GRC,-0.6691765577987489,2,strike,7,model2_full,strike_7d
fe__country_iso3_HUN,-1.0989029290606127,2,strike,7,model2_full,strike_7d
fe__country_iso3_IDN,-0.2131105190666848,2,strike,7,model2_full,strike_7d
fe__country_iso3_IND,4.281614537178006,2,strike,7,model2_full,strike_7d
fe__country_iso3_IRL,1.357214402322606,2,strike,7,model2_full,strike_7d
fe__country_iso3_ITA,-0.4249779280367135,2,strike,7,model2_full,strike_7d
fe__country_iso3_JPN,-2.552221819969188,2,strike,7,model2_full,strike_7d
fe__country_iso3_KEN,1.6870860656373623,2,strike,7,model2_full,strike_7d
fe__country_iso3_KOR,1.4350078112332796,2,strike,7,model2_full,strike_7d
fe__country_iso3_LAO,-2.932759161322014,2,strike,7,model2_full,strike_7d
fe__country_iso3_MAR,-1.346429216106566,2,strike,7,model2_full,strike_7d
fe__country_iso3_MEX,0.6977673270875973,2,strike,7,model2_full,strike_7d
fe__country_iso3_MOZ,-2.1911513943972905,2,strike,7,model2_full,strike_7d
fe__country_iso3_MYS,-0.4445022346138363,2,strike,7,model2_full,strike_7d
fe__country_iso3_NAM,-2.665279468434957,2,strike,7,model2_full,strike_7d
fe__country_iso3_NLD,-0.9461934282399108,2,strike,7,model2_full,strike_7d
fe__country_iso3_NOR,-1.5596934420362492,2,strike,7,model2_full,strike_7d
fe__country_iso3_PER,-0.2524790536110334,2,strike,7,model2_full,strike_7d
fe__country_iso3_PHL,1.621032769622439,2,strike,7,model2_full,strike_7d
fe__country_iso3_POL,-2.34194254503558,2,strike,7,model2_full,strike_7d
fe__country_iso3_PRT,-0.2747010390446054,2,strike,7,model2_full,strike_7d
