iso3,cowcode,year,month,protest_count,participant_sum
IRQ,645,2017,9,7,0.0
IRQ,645,2017,10,3,0.0
IRQ,645,2017,11,2,0.0
IRQ,645,2017,12,85,0.0
IRQ,645,2018,1,7,0.0
IRQ,645,2018,2,5,50.0
IRQ,645,2018,3,25,0.0
IRQ,645,2018,4,15,0.0
IRQ,645,2018,5,22,0.0
IRQ,645,2018,6,4,0.0
IRQ,645,2018,7,22,0.0
IRQ,645,2018,8,2,0.0
IRQ,645,2018,9,8,0.0
IRQ,645,2018,10,1,0.0
IRQ,645,2018,11,6,0.0
IRQ,645,2018,12,17,0.0
IRQ,645,2019,1,7,0.0
